msa_id,short_name,lat,lng
35620,"New York, NY",40.7128,-74.0060
14460,"Boston, MA",42.3601,-71.0589
31080,"Los Angeles, CA",34.0522,-118.2437
19740,"Denver, CO",39.7392,-104.9903
47900,"Washington, DC",38.9072,-77.0369
19100,"Dallas, TX",32.7767,-96.7970
38060,"Phoenix, AZ",33.4484,-112.0740
35380,"New Orleans, LA",29.9511,-90.0715
33100,"Miami, FL",25.7617,-80.1918
41740,"San Diego, CA",32.7157,-117.1611
16980,"Chicago, IL",41.8781,-87.6298
41860,"San Francisco, CA",37.7749,-122.4194
26420,"Houston, TX",29.7604,-95.3698
12420,"Austin, TX",30.2672,-97.7431
45300,"Tampa, FL",27.9506,-82.4572
12580,"Baltimore, MD",39.2904,-76.6122
37980,"Philadelphia, PA",39.9526,-75.1652
12060,"Atlanta, GA",33.7490,-84.3880
34980,"Nashville, TN",36.1627,-86.7816
41540,"Salisbury, MD",38.3607,-75.5994
40060,"Richmond, VA",37.5407,-77.4360
33460,"Minneapolis, MN",44.9778,-93.2650
38300,"Pittsburgh, PA",40.4406,-79.9959
36740,"Orlando, FL",28.5383,-81.3792
26900,"Indianapolis, IN",39.7684,-86.1581
28580,"Key West, FL",24.5551,-81.7800
44060,"Spokane, WA",47.6588,-117.4260
40900,"Sacramento, CA",38.5816,-121.4944
41620,"Salt Lake City, UT",40.7608,-111.8910
19820,"Detroit, MI",42.3314,-83.0458
38900,"Portland, OR",45.5051,-122.6750
14500,"Boulder, CO",40.0150,-105.2705
40140,"Riverside, CA",33.9806,-117.3755
24660,"Greensboro, NC",36.0726,-79.7920
36540,"Omaha, NE",41.2565,-95.9345
27260,"Jacksonville, FL",30.3322,-81.6557
16740,"Charlotte, NC",35.2271,-80.8431
22380,"Flagstaff, AZ",35.1983,-111.6513
38860,"Portland, ME",43.6591,-70.2568
39300,"Providence, RI",41.8240,-71.4128
32820,"Memphis, TN",35.1495,-90.0490
35980,"Norwich, CT",41.5243,-72.0759
28140,"Kansas City, MO",39.0997,-94.5786
41940,"San Jose, CA",37.3382,-121.8863
22660,"Fort Collins, CO",40.5853,-105.0844
